STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,STATE_NAME,LSAD,ALAND,AWATER
13,031,00350302,0500000US13031,13031,Bulloch,Bulloch County,GA,Georgia,06,1750735216,32827779
13,179,00357095,0500000US13179,13179,Liberty,Liberty County,GA,Georgia,06,1337654102,222884791
13,189,00348794,0500000US13189,13189,McDuffie,McDuffie County,GA,Georgia,06,666590014,23114032
13,209,00352276,0500000US13209,13209,Montgomery,Montgomery County,GA,Georgia,06,624563058,9191488
13,245,00358024,0500000US13245,13245,Richmond,Richmond County,GA,Georgia,06,840036613,10995252
13,049,00357747,0500000US13049,13049,Charlton,Charlton County,GA,Georgia,06,2020415648,5963237
13,141,00348209,0500000US13141,13141,Hancock,Hancock County,GA,Georgia,06,1220057418,17479620
13,315,00345499,0500000US13315,13315,Wilcox,Wilcox County,GA,Georgia,06,978525378,11147628
13,177,00343390,0500000US13177,13177,Lee,Lee County,GA,Georgia,06,921731096,15310679
13,279,00345220,0500000US13279,13279,Toombs,Toombs County,GA,Georgia,06,942788867,18076118
13,007,00342832,0500000US13007,13007,Baker,Baker County,GA,Georgia,06,885665381,18598653
34,015,00882277,0500000US34015,34015,Gloucester,Gloucester County,NJ,New Jersey,06,833976887,38259771
34,023,00882230,0500000US34023,34023,Middlesex,Middlesex County,NJ,New Jersey,06,800881307,35356734
34,035,00882234,0500000US34035,34035,Somerset,Somerset County,NJ,New Jersey,06,781829190,7996119
34,031,00882232,0500000US34031,34031,Passaic,Passaic County,NJ,New Jersey,06,481772300,32052581
34,021,00882229,0500000US34021,34021,Mercer,Mercer County,NJ,New Jersey,06,581297767,11434809
34,009,00882274,0500000US34009,34009,Cape May,Cape May County,NJ,New Jersey,06,651437935,955149083
28,059,00695753,0500000US28059,28059,Jackson,Jackson County,MS,Mississippi,06,1872109197,830292614
51,147,01492359,0500000US51147,51147,Prince Edward,Prince Edward County,VA,Virginia,06,906356801,10079281
51,029,01501502,0500000US51029,51029,Buckingham,Buckingham County,VA,Virginia,06,1501215440,9911855
51,139,01500440,0500000US51139,51139,Page,Page County,VA,Virginia,06,802949683,8369917
51,153,01480161,0500000US51153,51153,Prince William,Prince William County,VA,Virginia,06,868309976,30837608
51,171,01673918,0500000US51171,51171,Shenandoah,Shenandoah County,VA,Virginia,06,1315919346,9716893
51,061,01480120,0500000US51061,51061,Fauquier,Fauquier County,VA,Virginia,06,1678296041,9665551
