GEOID,year,nInMigr,nOutMigr,netMigr
01001,1990,2923,2591,332
01001,1991,3109,2393,716
01001,1992,3315,2726,589
01001,1993,4366,2520,1846
01001,1994,3365,2669,696
01001,1995,3675,2895,780
01001,1996,3620,2961,659
01001,1997,3667,3162,505
01001,1998,3743,3226,517
01001,1999,4004,3389,615
01001,2000,3792,3308,484
01001,2001,4127,3532,595
01001,2002,4251,3672,579
01001,2003,4662,3799,863
01001,2004,4663,3903,760
01001,2005,5095,4214,881
01001,2006,4830,4155,675
01001,2007,4773,4247,526
01001,2008,4499,4231,268
01001,2009,4293,3767,526
01001,2010,4596,4233,363
01003,1990,6368,4030,2338
01003,1991,6861,3911,2950
01003,1992,7527,4071,3456
01003,1993,8022,4187,3835
01003,1994,7919,4651,3268
01003,1995,7889,4924,2965
01003,1996,8563,4935,3628
01003,1997,8218,5189,3029
01003,1998,7733,5576,2157
01003,1999,8409,5670,2739
01003,2000,8303,5934,2369
01003,2001,8265,6055,2210
01003,2002,8463,5955,2508
01003,2003,9604,5784,3820
01003,2004,10413,6236,4177
01003,2005,10747,6917,3830
01003,2006,9213,6780,2433
01003,2007,9444,7325,2119
01003,2008,9299,6868,2431
01003,2009,9517,6709,2808
01003,2010,9918,7430,2488
01005,1990,1264,1130,134
01005,1991,1158,1065,93
01005,1992,1242,1111,131
01005,1993,1129,1148,-19
01005,1994,986,1122,-136
01005,1995,1141,1078,63
01005,1996,1094,1197,-103
01005,1997,1125,1094,31
01005,1998,1068,1286,-218
01005,1999,1117,1156,-39
01005,2000,1164,1311,-147
01005,2001,1063,1269,-206
01005,2002,1049,1224,-175
01005,2003,1004,1289,-285
01005,2004,1049,1206,-157
01005,2005,1100,1196,-96
01005,2006,1043,1135,-92
01005,2007,1111,1243,-132
01005,2008,1017,1149,-132
01005,2009,997,1171,-174
01005,2010,1195,1112,83
01007,1990,827,621,206
01007,1991,813,673,140
01007,1992,946,789,157
01007,1993,853,796,57
01007,1994,1029,817,212
