origin,year,nMigr,nMigr_wExempt
01001,2011,1395,4385
01001,2012,1094,3541
01001,2013,1035,3339
01001,2014,746,2288
01001,2015,906,2871
01001,2016,1312,4165
01001,2017,1058,3174
01001,2018,931,2857
01001,2019,1020,3186
01001,2020,1119,3404
01001,2021,1071,3188
01003,2011,2517,7504
01003,2012,2598,7727
01003,2013,2039,5830
01003,2014,1513,4336
01003,2015,1824,5253
01003,2016,2479,7069
01003,2017,2082,5804
01003,2018,1950,5524
01003,2019,2198,6321
01003,2020,2379,6499
01003,2021,2350,6470
01005,2011,430,1354
01005,2012,363,1232
01005,2013,244,810
01005,2014,155,473
01005,2015,217,703
01005,2016,274,889
01005,2017,198,639
01005,2018,152,479
01005,2019,194,602
01005,2020,220,635
01005,2021,195,567
01007,2011,373,1255
01007,2012,322,1010
01007,2013,276,914
01007,2014,206,670
01007,2015,284,899
01007,2016,344,1109
01007,2017,318,1015
01007,2018,252,781
01007,2019,301,949
01007,2020,272,805
01007,2021,352,1041
01009,2011,929,3032
01009,2012,943,3055
01009,2013,770,2498
01009,2014,687,2131
01009,2015,727,2299
01009,2016,941,2864
01009,2017,828,2613
01009,2018,784,2397
01009,2019,918,2879
01009,2020,830,2507
01009,2021,865,2640
01011,2011,142,477
01011,2012,154,520
01011,2013,71,229
01011,2014,60,180
01011,2015,56,174
01011,2016,75,245
01011,2017,62,199
01011,2018,51,145
01011,2019,107,340
01011,2020,73,201
01011,2021,50,136
01013,2011,225,685
01013,2012,178,586
01013,2013,135,440
01013,2014,82,261
01013,2015,85,290
01013,2016,192,616
01013,2017,100,325
01013,2018,114,369
01013,2019,75,245
01013,2020,111,356
01013,2021,87,275
01015,2011,1661,5290
01015,2012,1522,4695
01015,2013,1260,3815
01015,2014,1061,3152
01015,2015,1263,3882
01015,2016,1710,5115
01015,2017,1290,3843
01015,2018,1286,3790
01015,2019,1401,4239
01015,2020,1427,4175
01015,2021,1291,3675
01017,2011,650,2143
01017,2012,669,2255
01017,2013,565,1864
01017,2014,425,1387
01017,2015,499,1554
01017,2016,571,1806
01017,2017,450,1396
01017,2018,493,1552
01017,2019,548,1772
01017,2020,421,1266
01017,2021,480,1483
01019,2011,272,895
01019,2012,287,905
01019,2013,214,680
01019,2014,208,629
01019,2015,234,733
01019,2016,248,793
01019,2017,241,793
01019,2018,271,882
01019,2019,236,791
01019,2020,253,757
01019,2021,262,788
01021,2011,555,1883
01021,2012,566,1856
01021,2013,491,1567
01021,2014,422,1332
01021,2015,414,1344
01021,2016,510,1656
01021,2017,505,1589
01021,2018,441,1320
01021,2019,482,1471
01021,2020,468,1408
01021,2021,421,1215
01023,2011,73,238
01023,2012,95,336
01023,2013,26,84
01023,2015,25,82
01023,2016,26,76
01023,2017,27,87
01023,2019,20,60
01023,2020,20,57
01025,2011,281,913
01025,2012,288,911
01025,2013,221,718
01025,2014,206,685
01025,2015,197,587
01025,2016,260,819
01025,2017,173,551
01025,2018,204,630
01025,2019,227,702
01025,2020,222,667
01025,2021,144,418
01027,2011,215,767
01027,2012,147,491
01027,2013,110,350
01027,2014,122,388
01027,2015,138,408
01027,2016,185,587
01027,2017,148,468
01027,2018,153,482
01027,2019,119,387
01027,2020,138,424
01027,2021,150,452
01029,2011,218,723
01029,2012,187,636
01029,2013,192,629
01029,2014,131,404
01029,2015,177,565
01029,2016,215,686
01029,2017,203,677
01029,2018,137,434
01029,2019,178,570
01029,2020,170,534
01029,2021,148,453
01031,2011,1153,3716
01031,2012,1210,3892
01031,2013,781,2472
01031,2014,562,1819
01031,2015,745,2390
01031,2016,1169,3773
01031,2017,741,2454
01031,2018,720,2267
01031,2019,839,2656
01031,2020,888,2698
01031,2021,898,2689
01033,2011,814,2480
01033,2012,826,2577
01033,2013,686,2120
01033,2014,543,1653
01033,2015,724,2215
01033,2016,924,2858
01033,2017,715,2135
01033,2018,758,2199
01033,2019,784,2391
01033,2020,741,2180
01033,2021,755,2190
01035,2011,166,536
01035,2012,142,473
01035,2013,100,338
01035,2014,95,300
01035,2015,96,332
01035,2016,108,351
01035,2017,94,297
01035,2018,95,338
01035,2019,67,258
01035,2020,94,326
01035,2021,73,226
01037,2011,212,678
01037,2012,256,833
01037,2013,166,541
01037,2014,149,495
01037,2015,201,691
01037,2016,209,673
01037,2017,177,545
01037,2018,144,469
01037,2019,164,528
01037,2020,146,444
01037,2021,139,411
01039,2011,468,1481
01039,2012,372,1176
01039,2013,217,702
01039,2014,149,466
01039,2015,204,644
01039,2016,310,998
01039,2017,216,703
01039,2018,162,503
01039,2019,240,797
01039,2020,194,581
01039,2021,205,599
01041,2011,294,955
01041,2012,200,680
01041,2013,123,393
01041,2014,125,397
01041,2015,134,428
01041,2016,169,557
01041,2017,134,435
01041,2018,163,543
01041,2019,107,372
01041,2020,142,452
01041,2021,156,465
01043,2011,928,2826
01043,2012,769,2355
01043,2013,716,2278
01043,2014,580,1802
01043,2015,708,2109
01043,2016,864,2743
01043,2017,783,2355
01043,2018,720,2205
01043,2019,811,2479
01043,2020,859,2478
01043,2021,826,2346
01045,2011,1335,4542
01045,2012,1377,4593
01045,2013,994,3260
01045,2014,740,2336
01045,2015,1068,3670
01045,2016,1458,5103
01045,2017,1184,3961
01045,2018,1038,3442
01045,2019,1190,4040
01045,2020,1094,3496
01045,2021,1136,3611
01047,2011,638,1988
01047,2012,589,1971
01047,2013,400,1261
01047,2014,290,905
01047,2015,372,1141
01047,2016,481,1552
01047,2017,353,1127
01047,2018,338,1062
01047,2019,430,1344
01047,2020,383,1145
01047,2021,290,857
01049,2011,934,3169
01049,2012,807,2755
01049,2013,643,2156
01049,2014,538,1742
01049,2015,680,2223
01049,2016,769,2434
01049,2017,742,2400
01049,2018,644,2000
01049,2019,686,2189
01049,2020,689,2107
01049,2021,689,2057
01051,2011,1949,5841
01051,2012,1608,5074
01051,2013,1378,4344
01051,2014,986,3095
01051,2015,1297,4001
01051,2016,1730,5317
01051,2017,1308,3997
01051,2018,1349,4160
01051,2019,1411,4314
01051,2020,1359,4027
01051,2021,1432,4126
01053,2011,435,1399
01053,2012,407,1351
01053,2013,308,1011
01053,2014,291,919
01053,2015,310,989
01053,2016,407,1340
01053,2017,373,1175
01053,2018,311,1012
01053,2019,387,1226
01053,2020,384,1187
01053,2021,326,981
01055,2011,1157,3654
01055,2012,1140,3593
01055,2013,890,2814
01055,2014,794,2431
01055,2015,937,2912
01055,2016,1223,3752
01055,2017,1057,3134
01055,2018,1007,3122
01055,2019,1065,3283
01055,2020,1121,3262
01055,2021,1084,3148
01057,2011,238,773
01057,2012,198,651
01057,2013,194,607
01057,2014,124,420
01057,2015,176,587
01057,2016,213,713
01057,2017,168,539
01057,2018,175,559
01057,2019,169,570
01057,2020,213,674
01057,2021,181,558
01059,2011,541,2138
01059,2012,483,1750
01059,2013,372,1257
01059,2014,342,1158
01059,2015,279,880
01059,2016,443,1476
01059,2017,377,1207
01059,2018,329,1053
01059,2019,365,1121
01059,2020,358,1062
01059,2021,364,1102
01061,2011,394,1282
01061,2012,393,1276
01061,2013,365,1177
01061,2014,267,846
01061,2015,330,1057
01061,2016,412,1307
01061,2017,308,933
01061,2018,312,985
01061,2019,329,1038
01061,2020,364,1137
01061,2021,292,877
01063,2011,109,369
01063,2012,121,398
01063,2013,76,266
01063,2014,68,211
01063,2015,88,271
01063,2016,122,404
01063,2017,62,193
01063,2018,86,267
01063,2019,104,320
01063,2020,73,226
01063,2021,76,234
01065,2011,352,1175
01065,2012,254,834
01065,2013,224,726
01065,2014,208,683
01065,2015,220,677
01065,2016,245,784
01065,2017,212,680
01065,2018,197,620
01065,2019,231,729
01065,2020,221,683
01065,2021,216,657
01067,2011,288,910
01067,2012,272,886
01067,2013,292,927
01067,2014,196,639
01067,2015,232,744
01067,2016,279,889
01067,2017,250,773
01067,2018,252,768
01067,2019,226,716
01067,2020,276,847
01067,2021,269,802
01069,2011,1996,6200
01069,2012,1907,6094
01069,2013,1494,4899
01069,2014,1080,3378
