origin,year,nMigr
01001,1990,2591
01001,1991,2393
01001,1992,2726
01001,1993,2520
01001,1994,2669
01001,1995,2895
01001,1996,2961
01001,1997,3162
01001,1998,3226
01001,1999,3389
01001,2000,3308
01001,2001,3532
01001,2002,3672
01001,2003,3799
01001,2004,3903
01001,2005,4214
01001,2006,4155
01001,2007,4247
01001,2008,4231
01001,2009,3767
01001,2010,4233
01001,2011,1395
01001,2012,1094
01001,2013,1035
01001,2014,746
01001,2015,906
01001,2016,1312
01001,2017,1058
01001,2018,931
01001,2019,1020
01001,2020,1119
01001,2021,1071
01003,1990,4030
01003,1991,3911
01003,1992,4071
01003,1993,4187
01003,1994,4651
01003,1995,4924
01003,1996,4935
01003,1997,5189
01003,1998,5576
01003,1999,5670
01003,2000,5934
01003,2001,6055
01003,2002,5955
01003,2003,5784
01003,2004,6236
01003,2005,6917
01003,2006,6780
01003,2007,7325
01003,2008,6868
01003,2009,6709
01003,2010,7430
01003,2011,2517
01003,2012,2598
01003,2013,2039
01003,2014,1513
01003,2015,1824
01003,2016,2479
01003,2017,2082
01003,2018,1950
01003,2019,2198
01003,2020,2379
01003,2021,2350
01005,1990,1130
01005,1991,1065
01005,1992,1111
01005,1993,1148
01005,1994,1122
01005,1995,1078
01005,1996,1197
01005,1997,1094
01005,1998,1286
01005,1999,1156
01005,2000,1311
01005,2001,1269
01005,2002,1224
01005,2003,1289
01005,2004,1206
01005,2005,1196
01005,2006,1135
01005,2007,1243
01005,2008,1149
01005,2009,1171
01005,2010,1112
01005,2011,430
01005,2012,363
01005,2013,244
01005,2014,155
01005,2015,217
01005,2016,274
01005,2017,198
01005,2018,152
01005,2019,194
01005,2020,220
01005,2021,195
01007,1990,621
01007,1991,673
01007,1992,789
01007,1993,796
01007,1994,817
01007,1995,753
01007,1996,874
01007,1997,875
01007,1998,898
01007,1999,931
01007,2000,899
01007,2001,1044
01007,2002,875
01007,2003,897
01007,2004,896
01007,2005,982
01007,2006,921
01007,2007,1048
01007,2008,1038
01007,2009,977
01007,2010,996
01007,2011,373
01007,2012,322
01007,2013,276
01007,2014,206
01007,2015,284
01007,2016,344
01007,2017,318
01007,2018,252
01007,2019,301
01007,2020,272
01007,2021,352
01009,1990,1643
01009,1991,1824
01009,1992,1581
01009,1993,1820
01009,1994,1696
01009,1995,1732
01009,1996,1915
01009,1997,1899
01009,1998,2090
01009,1999,2208
01009,2000,2144
01009,2001,2221
01009,2002,2080
01009,2003,2303
01009,2004,2208
01009,2005,2251
01009,2006,2215
01009,2007,2292
01009,2008,2486
01009,2009,2293
01009,2010,2267
01009,2011,929
01009,2012,943
01009,2013,770
01009,2014,687
01009,2015,727
01009,2016,941
01009,2017,828
01009,2018,784
01009,2019,918
01009,2020,830
01009,2021,865
01011,1990,509
01011,1991,487
01011,1992,514
01011,1993,518
01011,1994,513
01011,1995,357
01011,1996,531
01011,1997,449
01011,1998,464
01011,1999,504
01011,2000,539
01011,2001,483
01011,2002,416
01011,2003,430
01011,2004,368
01011,2005,381
01011,2006,363
01011,2007,451
01011,2008,374
01011,2009,382
01011,2010,446
01011,2011,142
01011,2012,154
01011,2013,71
01011,2014,60
01011,2015,56
01011,2016,75
01011,2017,62
01011,2018,51
01011,2019,107
01011,2020,73
01011,2021,50
01013,1990,809
01013,1991,740
01013,1992,763
01013,1993,834
01013,1994,850
01013,1995,933
01013,1996,763
01013,1997,841
01013,1998,864
01013,1999,907
01013,2000,813
01013,2001,782
01013,2002,718
01013,2003,706
01013,2004,689
01013,2005,769
01013,2006,772
01013,2007,794
01013,2008,859
01013,2009,739
01013,2010,748
01013,2011,225
01013,2012,178
01013,2013,135
01013,2014,82
01013,2015,85
01013,2016,192
01013,2017,100
01013,2018,114
01013,2019,75
01013,2020,111
01013,2021,87
01015,1990,6632
01015,1991,5743
01015,1992,6789
01015,1993,6667
01015,1994,6416
01015,1995,6493
01015,1996,5931
01015,1997,6405
01015,1998,6281
01015,1999,8588
01015,2000,5034
01015,2001,4744
01015,2002,4403
01015,2003,4591
01015,2004,4199
01015,2005,4437
01015,2006,4389
01015,2007,4557
01015,2008,4196
01015,2009,4173
01015,2010,4478
01015,2011,1661
01015,2012,1522
01015,2013,1260
01015,2014,1061
01015,2015,1263
01015,2016,1710
01015,2017,1290
01015,2018,1286
01015,2019,1401
01015,2020,1427
01015,2021,1291
01017,1990,1453
01017,1991,1380
01017,1992,1587
01017,1993,1491
01017,1994,1502
01017,1995,1787
01017,1996,1866
01017,1997,1602
01017,1998,1752
01017,1999,1611
01017,2000,1615
01017,2001,1703
01017,2002,1594
01017,2003,1542
01017,2004,1497
01017,2005,1646
01017,2006,1483
01017,2007,1853
01017,2008,1443
01017,2009,1505
01017,2010,1521
01017,2011,650
01017,2012,669
01017,2013,565
01017,2014,425
01017,2015,499
01017,2016,571
01017,2017,450
01017,2018,493
01017,2019,548
01017,2020,421
01017,2021,480
01019,1990,830
01019,1991,786
01019,1992,697
01019,1993,837
01019,1994,770
01019,1995,941
01019,1996,970
01019,1997,909
01019,1998,1027
01019,1999,927
01019,2000,935
01019,2001,886
01019,2002,907
01019,2003,883
01019,2004,859
01019,2005,915
01019,2006,961
01019,2007,948
01019,2008,906
01019,2009,755
01019,2010,857
01019,2011,272
01019,2012,287
01019,2013,214
01019,2014,208
01019,2015,234
01019,2016,248
01019,2017,241
01019,2018,271
01019,2019,236
01019,2020,253
01019,2021,262
01021,1990,963
01021,1991,1109
01021,1992,1167
01021,1993,941
01021,1994,1090
01021,1995,1148
01021,1996,1065
01021,1997,1247
01021,1998,1319
01021,1999,1203
01021,2000,1402
01021,2001,1350
01021,2002,1246
01021,2003,1319
01021,2004,1432
01021,2005,1596
01021,2006,1471
01021,2007,1760
01021,2008,1705
01021,2009,1630
01021,2010,1656
01021,2011,555
01021,2012,566
01021,2013,491
01021,2014,422
01021,2015,414
01021,2016,510
01021,2017,505
01021,2018,441
01021,2019,482
01021,2020,468
01021,2021,421
01023,1990,504
01023,1991,527
01023,1992,581
01023,1993,541
01023,1994,554
01023,1995,677
01023,1996,507
01023,1997,549
01023,1998,658
01023,1999,583
01023,2000,509
01023,2001,569
01023,2002,492
01023,2003,491
01023,2004,585
01023,2005,439
01023,2006,483
01023,2007,484
01023,2008,476
01023,2009,403
01023,2010,553
01023,2011,73
01023,2012,95
01023,2013,26
01023,2015,25
01023,2016,26
01023,2017,27
01023,2019,20
01023,2020,20
