STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER
37,037,020600,1400000US37037020600,37037020600,206,Census Tract 206,NC,Chatham County,North Carolina,CT,303405832,2361346
37,105,030102,1400000US37105030102,37105030102,301.02,Census Tract 301.02,NC,Lee County,North Carolina,CT,15530242,303225
12,031,013200,1400000US12031013200,12031013200,132,Census Tract 132,FL,Duval County,Florida,CT,15550422,8752216
12,031,011600,1400000US12031011600,12031011600,116,Census Tract 116,FL,Duval County,Florida,CT,4027498,9843
12,031,012000,1400000US12031012000,12031012000,120,Census Tract 120,FL,Duval County,Florida,CT,5292010,5554
12,031,014500,1400000US12031014500,12031014500,145,Census Tract 145,FL,Duval County,Florida,CT,6587131,132977
13,101,880100,1400000US13101880100,13101880100,8801,Census Tract 8801,GA,Echols County,Georgia,CT,873494768,809409
13,185,011100,1400000US13185011100,13185011100,111,Census Tract 111,GA,Lowndes County,Georgia,CT,1957360,0
13,277,960700,1400000US13277960700,13277960700,9607,Census Tract 9607,GA,Tift County,Georgia,CT,24158997,407744
12,047,960300,1400000US12047960300,12047960300,9603,Census Tract 9603,FL,Hamilton County,Florida,CT,262087910,7235339
22,033,004201,1400000US22033004201,22033004201,42.01,Census Tract 42.01,LA,East Baton Rouge Parish,Louisiana,CT,13537881,13429
22,033,002300,1400000US22033002300,22033002300,23,Census Tract 23,LA,East Baton Rouge Parish,Louisiana,CT,2058160,0
22,033,001104,1400000US22033001104,22033001104,11.04,Census Tract 11.04,LA,East Baton Rouge Parish,Louisiana,CT,2589481,0
22,005,030102,1400000US22005030102,22005030102,301.02,Census Tract 301.02,LA,Ascension Parish,Louisiana,CT,15877583,51280
22,057,021800,1400000US22057021800,22057021800,218,Census Tract 218,LA,Lafourche Parish,Louisiana,CT,10223538,0
22,057,020100,1400000US22057020100,22057020100,201,Census Tract 201,LA,Lafourche Parish,Louisiana,CT,1705954,0
22,121,020200,1400000US22121020200,22121020200,202,Census Tract 202,LA,West Baton Rouge Parish,Louisiana,CT,36243271,5521784
22,021,000100,1400000US22021000100,22021000100,1,Census Tract 1,LA,Caldwell Parish,Louisiana,CT,444016773,21606481
22,025,000100,1400000US22025000100,22025000100,1,Census Tract 1,LA,Catahoula Parish,Louisiana,CT,1076882349,25534040
22,041,950100,1400000US22041950100,22041950100,9501,Census Tract 9501,LA,Franklin Parish,Louisiana,CT,451835588,210225
22,045,031000,1400000US22045031000,22045031000,310,Census Tract 310,LA,Iberia Parish,Louisiana,CT,1944583,0
22,051,025400,1400000US22051025400,22051025400,254,Census Tract 254,LA,Jefferson Parish,Louisiana,CT,1958364,34199
22,051,027703,1400000US22051027703,22051027703,277.03,Census Tract 277.03,LA,Jefferson Parish,Louisiana,CT,1398804,43896
22,051,023903,1400000US22051023903,22051023903,239.03,Census Tract 239.03,LA,Jefferson Parish,Louisiana,CT,1279703,4236
22,051,020511,1400000US22051020511,22051020511,205.11,Census Tract 205.11,LA,Jefferson Parish,Louisiana,CT,1051213,0
22,051,023902,1400000US22051023902,22051023902,239.02,Census Tract 239.02,LA,Jefferson Parish,Louisiana,CT,1483881,0
22,071,004600,1400000US22071004600,22071004600,46,Census Tract 46,LA,Orleans Parish,Louisiana,CT,702695,27900
22,071,003400,1400000US22071003400,22071003400,34,Census Tract 34,LA,Orleans Parish,Louisiana,CT,373145,0
22,071,011600,1400000US22071011600,22071011600,116,Census Tract 116,LA,Orleans Parish,Louisiana,CT,362832,0
22,071,009400,1400000US22071009400,22071009400,94,Census Tract 94,LA,Orleans Parish,Louisiana,CT,528802,0
22,071,008300,1400000US22071008300,22071008300,83,Census Tract 83,LA,Orleans Parish,Louisiana,CT,322973,0
22,071,013800,1400000US22071013800,22071013800,138,Census Tract 138,LA,Orleans Parish,Louisiana,CT,890838,24039
22,071,009900,1400000US22071009900,22071009900,99,Census Tract 99,LA,Orleans Parish,Louisiana,CT,786993,0
22,071,000616,1400000US22071000616,22071000616,6.16,Census Tract 6.16,LA,Orleans Parish,Louisiana,CT,1881753,0
22,071,001302,1400000US22071001302,22071001302,13.02,Census Tract 13.02,LA,Orleans Parish,Louisiana,CT,296707,0
22,071,004800,1400000US22071004800,22071004800,48,Census Tract 48,LA,Orleans Parish,Louisiana,CT,162332,0
22,075,050400,1400000US22075050400,22075050400,504,Census Tract 504,LA,Plaquemines Parish,Louisiana,CT,523144415,432134287
22,087,030104,1400000US22087030104,22087030104,301.04,Census Tract 301.04,LA,St. Bernard Parish,Louisiana,CT,21665049,523499
