OID_,COUNTYFP_2020,ALAND_2020,AWATER_2020,TOTALPOP_2020,AUND1_2020,A1TO4_2020,A5TO17_2020,A18TO24_2020,AUND25_2020,A25OV_2020,A25TO64_2020,A65TO79_2020,A80OV_2020,WOMCHILD_2020,WHITE_2020,BLACK_2020,ASIAN_2020,HAWPI_2020,OTHER_2020,TWOMORE_2020,NHISP_2020,HISP_2020,NHISPWHITE_2020,NHISPBLACK_2020,HOUSEHOLD_2020,HHPOP_2020,FEMW18CHIL_2020,HHUNIT_2020,OCC_2020,OWN_2020,VACANT_2020,HU1P_2020,STATEFP20,Shape_Length,Shape_Area,FIPSTCO,SVI_2020,SVI_2010,SVI_2000,TP1990L05,TP1990L10,TP1990O10,TP2000L05,TP2000L10,TP2000O10,TP2010L05,TP2010L10,TP2010O10,TP2020L05,TP2020L10,TP2020O10,INLECZ
1,001,2752164828.000000000000000,39845046.000000000000000,57922.000000000000000,501.000000000000000,2181.000000000000000,7888.000000000000000,4391.000000000000000,14932.000000000000000,39655.000000000000000,33541.000000000000000,14921.000000000000000,1984.000000000000000,9223.000000000000000,34922.000000000000000,11577.000000000000000,392.000000000000000,13.000000000000000,7066.000000000000000,3595.000000000000000,46811.000000000000000,11111.000000000000000,33098.000000000000000,11430.000000000000000,17371.000000000000000,44016.000000000000000,9223.000000000000000,20131.000000000000000,20131.000000000000000,17371.000000000000000,2760.000000000000000,4693.000000000000000,48,3.726483047209676,0.265934309005234,48001,0.606189061057676,0.580535104640352,0.663493987589356,0,0,0,0,0,0,0,0,0,0,0,0,0
2,003,3886850259.000000000000000,957039.000000000000000,18610.000000000000000,296.000000000000000,1189.000000000000000,4229.000000000000000,1600.000000000000000,7262.000000000000000,10624.000000000000000,9361.000000000000000,5335.000000000000000,469.000000000000000,4266.000000000000000,10909.000000000000000,237.000000000000000,112.000000000000000,0.000000000000000,3278.000000000000000,3854.000000000000000,8210.000000000000000,10400.000000000000000,7405.000000000000000,192.000000000000000,6262.000000000000000,18543.000000000000000,4266.000000000000000,7020.000000000000000,7020.000000000000000,6262.000000000000000,758.000000000000000,1243.000000000000000,48,2.579062307057259,0.372264273889162,48003,0.527498565394486,0.434119158425291,0.490824513419861,0,0,0,0,0,0,0,0,0,0,0,0,0
3,005,2066460812.000000000000000,173300091.000000000000000,86395.000000000000000,1054.000000000000000,4295.000000000000000,16123.000000000000000,7285.000000000000000,28622.000000000000000,51960.000000000000000,42354.000000000000000,27385.000000000000000,3464.000000000000000,18767.000000000000000,54887.000000000000000,13098.000000000000000,919.000000000000000,42.000000000000000,8588.000000000000000,8298.000000000000000,66663.000000000000000,19732.000000000000000,49970.000000000000000,12872.000000000000000,32134.000000000000000,83879.000000000000000,18767.000000000000000,36480.000000000000000,36480.000000000000000,32134.000000000000000,4346.000000000000000,8435.000000000000000,48,3.400539285985553,0.212085719120429,48005,0.674463562695067,0.669231223768984,0.661102579751098,0,0,0,0,0,0,0,0,0,0,0,0,0
4,007,652856780.000000000000000,714538201.000000000000000,23830.000000000000000,184.000000000000000,751.000000000000000,3111.000000000000000,1502.000000000000000,5516.000000000000000,15846.000000000000000,11466.000000000000000,8422.000000000000000,1502.000000000000000,3891.000000000000000,17996.000000000000000,264.000000000000000,501.000000000000000,17.000000000000000,1557.000000000000000,3250.000000000000000,17672.000000000000000,6158.000000000000000,15816.000000000000000,241.000000000000000,10236.000000000000000,23416.000000000000000,3891.000000000000000,15500.000000000000000,15500.000000000000000,10236.000000000000000,5264.000000000000000,3045.000000000000000,48,1.926579641115775,0.125541604316642,48007,0.622222660031862,0.500464620488247,0.718403869900255,593,16575,1317,773,20498,1999,624,21130,2028,650,21597,2233,1
5,009,2339508165.000000000000000,57767715.000000000000000,8560.000000000000000,96.000000000000000,342.000000000000000,1525.000000000000000,584.000000000000000,2532.000000000000000,5421.000000000000000,4339.000000000000000,2814.000000000000000,391.000000000000000,1640.000000000000000,7551.000000000000000,32.000000000000000,19.000000000000000,0.000000000000000,301.000000000000000,549.000000000000000,7818.000000000000000,742.000000000000000,7356.000000000000000,30.000000000000000,3396.000000000000000,8492.000000000000000,1640.000000000000000,3865.000000000000000,3865.000000000000000,3396.000000000000000,469.000000000000000,824.000000000000000,48,1.939562943367844,0.232907310004401,48009,0.557406180791875,0.467276706366206,0.588443205740119,0,0,0,0,0,0,0,0,0,0,0,0,0
6,011,2354617585.000000000000000,12183672.000000000000000,1848.000000000000000,21.000000000000000,85.000000000000000,321.000000000000000,123.000000000000000,544.000000000000000,1136.000000000000000,905.000000000000000,587.000000000000000,107.000000000000000,356.000000000000000,1646.000000000000000,13.000000000000000,10.000000000000000,0.000000000000000,39.000000000000000,123.000000000000000,1704.000000000000000,144.000000000000000,1593.000000000000000,6.000000000000000,728.000000000000000,1804.000000000000000,356.000000000000000,842.000000000000000,842.000000000000000,728.000000000000000,114.000000000000000,149.000000000000000,48,1.944938149562997,0.233601364196326,48011,0.412200003862381,0.339500010013580,0.599863008910150,0,0,0,0,0,0,0,0,0,0,0,0,0
7,013,3158596616.000000000000000,4995711.000000000000000,48981.000000000000000,641.000000000000000,2617.000000000000000,9811.000000000000000,4353.000000000000000,17351.000000000000000,28859.000000000000000,23991.000000000000000,15066.000000000000000,1537.000000000000000,10690.000000000000000,28203.000000000000000,425.000000000000000,206.000000000000000,18.000000000000000,7550.000000000000000,12088.000000000000000,17803.000000000000000,31178.000000000000000,16066.000000000000000,340.000000000000000,16485.000000000000000,48615.000000000000000,10690.000000000000000,18777.000000000000000,18777.000000000000000,16485.000000000000000,2292.000000000000000,3467.000000000000000,48,2.269749274757119,0.292639306463319,48013,0.713685193786836,0.766014137766329,0.823943421039138,0,0,0,0,0,0,0,0,0,0,0,0,0
8,015,1674415880.000000000000000,25596214.000000000000000,30167.000000000000000,319.000000000000000,1300.000000000000000,5382.000000000000000,2214.000000000000000,9224.000000000000000,18679.000000000000000,14688.000000000000000,9892.000000000000000,1299.000000000000000,5881.000000000000000,20164.000000000000000,2440.000000000000000,201.000000000000000,8.000000000000000,3103.000000000000000,3974.000000000000000,22115.000000000000000,8052.000000000000000,18480.000000000000000,2352.000000000000000,11618.000000000000000,29882.000000000000000,5881.000000000000000,13779.000000000000000,13779.000000000000000,11618.000000000000000,2161.000000000000000,3017.000000000000000,48,2.526173301214370,0.158766568678254,48015,0.685305380185028,0.426380969577470,0.637872698321640,0,0,0,0,0,0,0,0,0,0,0,0,0
9,017,2141847187.000000000000000,1775275.000000000000000,6904.000000000000000,99.000000000000000,427.000000000000000,1539.000000000000000,608.000000000000000,2674.000000000000000,3835.000000000000000,3232.000000000000000,1932.000000000000000,273.000000000000000,1456.000000000000000,3348.000000000000000,65.000000000000000,11.000000000000000,0.000000000000000,2043.000000000000000,1351.000000000000000,2364.000000000000000,4540.000000000000000,2190.000000000000000,49.000000000000000,2359.000000000000000,6776.000000000000000,1456.000000000000000,2746.000000000000000,2746.000000000000000,2359.000000000000000,387.000000000000000,485.000000000000000,48,1.836596312999437,0.209350754328323,48017,0.542483870115788,0.688644605023521,0.871999979019165,0,0,0,0,0,0,0,0,0,0,0,0,0
10,019,2048663887.000000000000000,17291422.000000000000000,20851.000000000000000,158.000000000000000,636.000000000000000,2702.000000000000000,1141.000000000000000,4643.000000000000000,14227.000000000000000,10220.000000000000000,7695.000000000000000,1116.000000000000000,3225.000000000000000,17110.000000000000000,110.000000000000000,97.000000000000000,15.000000000000000,850.000000000000000,2512.000000000000000,16841.000000000000000,4010.000000000000000,15595.000000000000000,102.000000000000000,8847.000000000000000,20645.000000000000000,3225.000000000000000,11400.000000000000000,11400.000000000000000,8847.000000000000000,2553.000000000000000,2451.000000000000000,48,2.120517097230152,0.192678074789882,48019,0.602752265481910,0.436269952387870,0.484226365901993,0,0,0,0,0,0,0,0,0,0,0,0,0
